🧪 Testing 34 New Cases...

✅ [PASS] Negative | 'Hailstorm in Nashik damages extensive grape plantations....'
✅ [PASS] Positive | 'El Nino fears recede, normal monsoon predicted by IMD....'
✅ [PASS] Negative | 'Heatwave during grain filling stage affects wheat shriveling...'
✅ [PASS] Negative | 'Frost alert issued for potato farmers in northern belt....'
✅ [PASS] Positive | 'Timely rains help in completion of paddy transplantation....'
✅ [PASS] Negative | 'Pink bollworm infestation reported in cotton belt of Punjab....'
✅ [PASS] Positive | 'New bio-pesticide effective against fall armyworm....'
✅ [PASS] Negative | 'Fungal outbreak threatens banana plantations in Kerala....'
✅ [PASS] Positive | 'Locust swarms controlled effectively this year....'
✅ [PASS] Negative | 'Whitefly attack lowers yield expectations for guar crop....'
✅ [PASS] Positive | 'Global sugar deficit pushes domestic prices up, millers happ...'
✅ [PASS] Negative | 'Onion prices crash to Rs 5/kg due to glut in market....'
✅ [PASS] Positive | 'Jeera futures hit upper circuit on strong export demand....'
✅ [PASS] Positive | 'Palm oil import duty hike to support domestic coconut farmer...'
✅ [PASS] Negative | 'Lack of cold storage forces farmers to sell at distress pric...'
✅ [PASS] Neutral | 'Soybean prices remain range-bound with weak cues....'
✅ [PASS] Positive | 'Cabinet approves hike in MSP for Rabi crops....'
✅ [PASS] Negative | 'PM Fasal Bima Yojana claims settlement delayed by months....'
✅ [PASS] Positive | 'Government launches new scheme for solar pumps....'
✅ [PASS] Negative | 'Fertilizer subsidy slashed in the new budget....'
✅ [PASS] Positive | 'Agri-infra fund disbursed for post-harvest management....'
✅ [PASS] Neutral | 'State government creates committee to study farm distress....'
✅ [PASS] Positive | 'Drones deployed for nano-urea spraying save labor costs....'
✅ [PASS] Positive | 'Satellite imagery helps in accurate crop acreage estimation....'
✅ [PASS] Negative | 'Adoption of precision farming low due to high initial cost....'
✅ [PASS] Positive | 'Hydroponics farming gaining traction in urban areas....'
✅ [PASS] Negative | 'Shortage of DAP fertilizer reported during peak sowing....'
✅ [PASS] Negative | 'Container shortage hits grape exports to Europe....'
✅ [PASS] Positive | 'Good availability of certified seeds for the kharif season....'
✅ [PASS] Negative | 'Power cuts disrupt irrigation schedules in rural areas....'
✅ [PASS] Neutral | 'Agriculture contributes 18% to India's GDP....'
✅ [PASS] Negative | 'Young generation migrating away from farming jobs....'
✅ [PASS] Positive | 'Record procurement of wheat by FCI this season....'
✅ [PASS] Positive | 'Despite initial delay, sowing covers normal acreage....'

📊 Results: 34/34 Correct
🎯 Accuracy: 100.00%
