🧪 Testing 36 cases...

✅ [PASS] Positive | 'Bumper harvest expected for wheat this year in Pun...'
✅ [PASS] Positive | 'Government increases subsidy for urea and fertiliz...'
✅ [PASS] Positive | 'Good monsoon rains bring relief to drought-hit far...'
✅ [PASS] Positive | 'Record breaking cotton yield reported in Gujarat....'
✅ [PASS] Positive | 'Exports of non-basmati rice surge, bringing profit...'
✅ [PASS] Positive | 'Farmers are happy with the new MSP rates....'
✅ [PASS] Positive | 'New irrigation project will boost crop production....'
✅ [PASS] Negative | 'Locust attack destroys acres of standing crops....'
✅ [PASS] Negative | 'Severe drought causes distress among farmers in Vi...'
✅ [PASS] Negative | 'Tomato prices crash to Rs 2 per kg, farmers dump p...'
✅ [PASS] Negative | 'Unseasonal rains damage ready-to-harvest wheat cro...'
✅ [PASS] Negative | 'Rising fuel prices increase cost of cultivation....'
✅ [PASS] Negative | 'Pest infestation ruins the entire cotton harvest....'
✅ [PASS] Negative | 'Farmers protest against the new farm laws....'
✅ [PASS] Neutral | 'Agriculture minister to visit the state tomorrow....'
✅ [PASS] Neutral | 'Wheat sowing has started in the northern states....'
✅ [PASS] Neutral | 'Market remains closed on Sunday....'
✅ [PASS] Positive | 'Farmers are using new technology for soil testing....'
✅ [PASS] Neutral | 'The conference on sustainable farming was held tod...'
✅ [PASS] Neutral | 'Rice is a staple food for half the world's populat...'
✅ [PASS] Neutral | 'Changes in sowing patterns observed this season....'
✅ [PASS] Negative | 'Government bans onion exports to control local pri...'
✅ [PASS] Negative | 'India allows duty-free import of soybean oil....'
✅ [PASS] Positive | 'Centre approves interest subvention on crop loans....'
✅ [PASS] Negative | 'Diesel prices hike hits tractor operations hard....'
✅ [PASS] Positive | 'Potato prices jump 30% due to supply shortage....'
✅ [PASS] Negative | 'Harvest is good but lack of storage is causing rot...'
✅ [PASS] Positive | 'Despite the floods, sugarcane crop remains safe....'
✅ [PASS] Positive | 'Yields are down, but high prices compensate the lo...'
✅ [PASS] Positive | 'Startup launches AI-powered weed remover....'
✅ [PASS] Negative | 'Manual weeding is labor intensive and costly....'
✅ [PASS] Neutral | 'The scientific name of rice is Oryza sativa....'
✅ [PASS] Negative | 'Petrol costs are surging, hurting small farmers....'
✅ [PASS] Positive | 'New app launched to help track soil health....'
✅ [PASS] Negative | 'Government restricts export of sugar....'
✅ [PASS] Positive | 'Output is low, yet strong market rates make up for...'

📊 Results: 36/36 Correct
🎯 Accuracy: 100.00%
